Dates,Transactions,Transparent_Transfer_TXs,Sapling_Transfer_TXs,Orchard_Transfer_TXs,Total_Transfer_TXs,Total_Transparent_TXs,Coinbase_percent,Total_Sapling_TXs,Net_Sapling_Flow,Total_Orchard_TXs,Net_Orchard_Flow,Total_Shielded_Supply,Total_Lockbox_Supply,Zebra_Nodes,Zcashd_Nodes,Total_Node_Count,Closing_Price,Shielded_Market_Cap,Shielded_Transaction_Percentage
2025/08/03,15629,30357,1866,6534,38757,12642,na,967,-31129,2130,-4129,3213546,54351,25,68,93,36.16,116201823.35999998,0.1911190735171796
2025/08/10,15545,30468,1852,5640,37960,12657,na,959,-3846,2008,-215970,3424721,55852,17,37,54,39.42,135002501.82,0.18578321003538112
2025/08/17,18515,32820,2551,14600,49971,13641,na,1357,-4658,3693,-131808,3564315,57370,25,36,61,37.02,131950941.30000001,0.26324601674318115
2025/08/24,18619,32640,2502,14400,49542,13915,0.43,1317,-90506,3565,-252518,3703878,58961,28,49,77,42.66,158007435.48,0.2526451474300446
2025/08/31,17926,31981,2238,13579,47978,13526,0.44,1183,481,3367,-30961,3733608,60369,26,48,74,40.76,152181862.07999998,0.24545353118375546
2025/09/07,17048,32104,2310,8032,42446,13369,0.47,1221,17885,2597,-84787,3802595,61875,23,56,79,48.43,184159675.85,0.2158024401689348
2025/09/14,18466,34559,2441,6910,43910,14678,0.43,1334,2052,2601,-291,3806549,63393,23,62,85,50.48,192154593.51999998,0.20513375934149247
2025/09/21,18717,34871,2524,7420,44815,14759,0.43,1347,-3401,2718,8799,3795330,64892,23,50,73,51.87,196863767.1,0.2114655126355719
2025/09/28,19204,36283,2247,8420,46950,15096,0.41,1211,822,3045,-37502,3832156,66389,19,41,60,62.69,240237859.64,0.21391376796500727
2025/10/05,45047,76285,3654,20033,99972,36333,0.17,1927,45183,7076,-11770,3803129,67935,24,51,75,166.03,631433507.87,0.19344240459964035
2025/10/12,59616,96965,3837,32417,133219,46386,0.13,2070,20693,11465,-430639,4272668,69435,19,35,53,260.23,1111876393.64,0.2219202898550725
2025/10/19,45929,77046,3745,28511,109302,33659,0.17,2016,11897,10504,-435377,4588724,70917,41,59,100,236.18,1083764834.32,0.2671514729256026
2025/10/26,39169,66339,3368,24588,94295,28810,0.2,1812,-2330,8770,-351223,4929266,72411,39,73,112,325.11,1602553669.26,0.2644693507620822
2025/11/02,58937,99987,3549,32717,136253,45075,0.13,1912,15127,12246,-26438,4962870,73956,46,75,121,418.99,2079392901.3,0.23520029862395442
2025/11/09,83493,139844,4490,45948,190282,64457,0.09,2363,29715,17085,50834,4847835,75480,46,65,111,615.31,2982921353.85,0.22799516127100472
2025/11/16,195122,523435,3821,37912,565168,179559,0.08,2019,53855,13798,-20192,4817262,77080,61,85,146,698.99,3367217965.38,0.07976035505991119
2025/11/23,195962,455341,3677,35990,495008,180392,0.08,1954,420,13925,-89407,4835398,78491,81,130,211,572.81,2769764328.3799996,0.07945417989201986
